profile_id,legacy_si_id,RE,CF,TL,CQ,CAP,COP,scenario_key,RE_SC,BM_SC,CP_SC,FL_SC
193,,RE2,CF1,TL1,CQ4,CAP2,COP1,RE2_CF1_TL1_CQ4_CAP2_COP1,H,REPO_plus,BAU,0.4
194,,RE2,CF1,TL1,CQ5,CAP1,COP2,RE2_CF1_TL1_CQ5_CAP1_COP2,H,全行业配额,PD,0.4
195,,RE2,CF1,TL1,CQ5,CAP2,COP1,RE2_CF1_TL1_CQ5_CAP2_COP1,H,全行业配额,BAU,0.4
196,,RE2,CF1,TL1,CQ6,CAP1,COP1,RE2_CF1_TL1_CQ6_CAP1_COP1,H,电力配额,BAU,0.4
197,,RE2,CF1,TL1,CQ6,CAP2,COP1,RE2_CF1_TL1_CQ6_CAP2_COP1,H,电力配额,BAU,0.4
198,,RE2,CF1,TL1,CQ6,CAP2,COP2,RE2_CF1_TL1_CQ6_CAP2_COP2,H,电力配额,PD,0.4
199,,RE2,CF1,TL2,CQ1,CAP1,COP1,RE2_CF1_TL2_CQ1_CAP1_COP1,H,无配额,BAU,0.4
200,,RE2,CF1,TL2,CQ1,CAP2,COP2,RE2_CF1_TL2_CQ1_CAP2_COP2,H,无配额,PD,0.4
201,,RE2,CF1,TL2,CQ2,CAP1,COP1,RE2_CF1_TL2_CQ2_CAP1_COP1,H,基准不变,BAU,0.4
202,,RE2,CF1,TL2,CQ2,CAP2,COP1,RE2_CF1_TL2_CQ2_CAP2_COP1,H,基准不变,BAU,0.4
203,,RE2,CF1,TL2,CQ2,CAP2,COP2,RE2_CF1_TL2_CQ2_CAP2_COP2,H,基准不变,PD,0.4
204,,RE2,CF1,TL2,CQ3,CAP1,COP1,RE2_CF1_TL2_CQ3_CAP1_COP1,H,REPO,BAU,0.4
205,,RE2,CF1,TL2,CQ3,CAP1,COP2,RE2_CF1_TL2_CQ3_CAP1_COP2,H,REPO,PD,0.4
206,,RE2,CF1,TL2,CQ3,CAP2,COP1,RE2_CF1_TL2_CQ3_CAP2_COP1,H,REPO,BAU,0.4
207,,RE2,CF1,TL2,CQ4,CAP1,COP1,RE2_CF1_TL2_CQ4_CAP1_COP1,H,REPO_plus,BAU,0.4
208,,RE2,CF1,TL2,CQ4,CAP2,COP1,RE2_CF1_TL2_CQ4_CAP2_COP1,H,REPO_plus,BAU,0.4
209,,RE2,CF1,TL2,CQ4,CAP2,COP2,RE2_CF1_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.4
210,,RE2,CF1,TL2,CQ5,CAP1,COP1,RE2_CF1_TL2_CQ5_CAP1_COP1,H,全行业配额,BAU,0.4
211,,RE2,CF1,TL2,CQ5,CAP1,COP2,RE2_CF1_TL2_CQ5_CAP1_COP2,H,全行业配额,PD,0.4
212,,RE2,CF1,TL2,CQ5,CAP2,COP1,RE2_CF1_TL2_CQ5_CAP2_COP1,H,全行业配额,BAU,0.4
213,,RE2,CF1,TL2,CQ5,CAP2,COP2,RE2_CF1_TL2_CQ5_CAP2_COP2,H,全行业配额,PD,0.4
214,,RE2,CF1,TL2,CQ6,CAP1,COP2,RE2_CF1_TL2_CQ6_CAP1_COP2,H,电力配额,PD,0.4
215,,RE2,CF1,TL2,CQ6,CAP2,COP1,RE2_CF1_TL2_CQ6_CAP2_COP1,H,电力配额,BAU,0.4
216,,RE2,CF1,TL2,CQ6,CAP2,COP2,RE2_CF1_TL2_CQ6_CAP2_COP2,H,电力配额,PD,0.4
217,,RE2,CF2,TL1,CQ1,CAP1,COP1,RE2_CF2_TL1_CQ1_CAP1_COP1,H,无配额,BAU,0.3
218,,RE2,CF2,TL1,CQ1,CAP1,COP2,RE2_CF2_TL1_CQ1_CAP1_COP2,H,无配额,PD,0.3
219,,RE2,CF2,TL1,CQ1,CAP2,COP2,RE2_CF2_TL1_CQ1_CAP2_COP2,H,无配额,PD,0.3
220,,RE2,CF2,TL1,CQ2,CAP1,COP1,RE2_CF2_TL1_CQ2_CAP1_COP1,H,基准不变,BAU,0.3
221,,RE2,CF2,TL1,CQ2,CAP1,COP2,RE2_CF2_TL1_CQ2_CAP1_COP2,H,基准不变,PD,0.3
222,,RE2,CF2,TL1,CQ2,CAP2,COP1,RE2_CF2_TL1_CQ2_CAP2_COP1,H,基准不变,BAU,0.3
223,,RE2,CF2,TL1,CQ3,CAP1,COP1,RE2_CF2_TL1_CQ3_CAP1_COP1,H,REPO,BAU,0.3
224,,RE2,CF2,TL1,CQ3,CAP2,COP1,RE2_CF2_TL1_CQ3_CAP2_COP1,H,REPO,BAU,0.3
225,,RE2,CF2,TL1,CQ3,CAP2,COP2,RE2_CF2_TL1_CQ3_CAP2_COP2,H,REPO,PD,0.3
226,,RE2,CF2,TL1,CQ4,CAP1,COP2,RE2_CF2_TL1_CQ4_CAP1_COP2,H,REPO_plus,PD,0.3
227,,RE2,CF2,TL1,CQ4,CAP2,COP1,RE2_CF2_TL1_CQ4_CAP2_COP1,H,REPO_plus,BAU,0.3
228,,RE2,CF2,TL1,CQ4,CAP2,COP2,RE2_CF2_TL1_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3
229,,RE2,CF2,TL1,CQ5,CAP1,COP1,RE2_CF2_TL1_CQ5_CAP1_COP1,H,全行业配额,BAU,0.3
230,,RE2,CF2,TL1,CQ5,CAP1,COP2,RE2_CF2_TL1_CQ5_CAP1_COP2,H,全行业配额,PD,0.3
231,,RE2,CF2,TL1,CQ5,CAP2,COP1,RE2_CF2_TL1_CQ5_CAP2_COP1,H,全行业配额,BAU,0.3
232,,RE2,CF2,TL1,CQ5,CAP2,COP2,RE2_CF2_TL1_CQ5_CAP2_COP2,H,全行业配额,PD,0.3
233,,RE2,CF2,TL1,CQ6,CAP1,COP1,RE2_CF2_TL1_CQ6_CAP1_COP1,H,电力配额,BAU,0.3
234,,RE2,CF2,TL1,CQ6,CAP1,COP2,RE2_CF2_TL1_CQ6_CAP1_COP2,H,电力配额,PD,0.3
235,,RE2,CF2,TL1,CQ6,CAP2,COP2,RE2_CF2_TL1_CQ6_CAP2_COP2,H,电力配额,PD,0.3
236,,RE2,CF2,TL2,CQ1,CAP1,COP2,RE2_CF2_TL2_CQ1_CAP1_COP2,H,无配额,PD,0.3
237,,RE2,CF2,TL2,CQ1,CAP2,COP1,RE2_CF2_TL2_CQ1_CAP2_COP1,H,无配额,BAU,0.3
238,,RE2,CF2,TL2,CQ1,CAP2,COP2,RE2_CF2_TL2_CQ1_CAP2_COP2,H,无配额,PD,0.3
239,,RE2,CF2,TL2,CQ2,CAP1,COP2,RE2_CF2_TL2_CQ2_CAP1_COP2,H,基准不变,PD,0.3
240,,RE2,CF2,TL2,CQ2,CAP2,COP1,RE2_CF2_TL2_CQ2_CAP2_COP1,H,基准不变,BAU,0.3
241,,RE2,CF2,TL2,CQ2,CAP2,COP2,RE2_CF2_TL2_CQ2_CAP2_COP2,H,基准不变,PD,0.3
242,,RE2,CF2,TL2,CQ3,CAP1,COP1,RE2_CF2_TL2_CQ3_CAP1_COP1,H,REPO,BAU,0.3
243,,RE2,CF2,TL2,CQ3,CAP1,COP2,RE2_CF2_TL2_CQ3_CAP1_COP2,H,REPO,PD,0.3
244,,RE2,CF2,TL2,CQ3,CAP2,COP2,RE2_CF2_TL2_CQ3_CAP2_COP2,H,REPO,PD,0.3
245,,RE2,CF2,TL2,CQ4,CAP1,COP1,RE2_CF2_TL2_CQ4_CAP1_COP1,H,REPO_plus,BAU,0.3
246,,RE2,CF2,TL2,CQ4,CAP1,COP2,RE2_CF2_TL2_CQ4_CAP1_COP2,H,REPO_plus,PD,0.3
247,,RE2,CF2,TL2,CQ4,CAP2,COP1,RE2_CF2_TL2_CQ4_CAP2_COP1,H,REPO_plus,BAU,0.3
248,,RE2,CF2,TL2,CQ5,CAP1,COP1,RE2_CF2_TL2_CQ5_CAP1_COP1,H,全行业配额,BAU,0.3
249,,RE2,CF2,TL2,CQ5,CAP2,COP2,RE2_CF2_TL2_CQ5_CAP2_COP2,H,全行业配额,PD,0.3
250,,RE2,CF2,TL2,CQ6,CAP1,COP1,RE2_CF2_TL2_CQ6_CAP1_COP1,H,电力配额,BAU,0.3
251,,RE2,CF2,TL2,CQ6,CAP2,COP1,RE2_CF2_TL2_CQ6_CAP2_COP1,H,电力配额,BAU,0.3
252,,RE2,CF2,TL2,CQ6,CAP2,COP2,RE2_CF2_TL2_CQ6_CAP2_COP2,H,电力配额,PD,0.3
253,,RE2,CF3,TL1,CQ1,CAP1,COP2,RE2_CF3_TL1_CQ1_CAP1_COP2,H,无配额,PD,0.0
254,,RE2,CF3,TL1,CQ1,CAP2,COP1,RE2_CF3_TL1_CQ1_CAP2_COP1,H,无配额,BAU,0.0
255,,RE2,CF3,TL1,CQ2,CAP1,COP1,RE2_CF3_TL1_CQ2_CAP1_COP1,H,基准不变,BAU,0.0
256,,RE2,CF3,TL1,CQ2,CAP2,COP1,RE2_CF3_TL1_CQ2_CAP2_COP1,H,基准不变,BAU,0.0
257,,RE2,CF3,TL1,CQ2,CAP2,COP2,RE2_CF3_TL1_CQ2_CAP2_COP2,H,基准不变,PD,0.0
258,,RE2,CF3,TL1,CQ3,CAP1,COP1,RE2_CF3_TL1_CQ3_CAP1_COP1,H,REPO,BAU,0.0
259,,RE2,CF3,TL1,CQ3,CAP1,COP2,RE2_CF3_TL1_CQ3_CAP1_COP2,H,REPO,PD,0.0
260,,RE2,CF3,TL1,CQ3,CAP2,COP1,RE2_CF3_TL1_CQ3_CAP2_COP1,H,REPO,BAU,0.0
261,,RE2,CF3,TL1,CQ4,CAP1,COP1,RE2_CF3_TL1_CQ4_CAP1_COP1,H,REPO_plus,BAU,0.0
262,,RE2,CF3,TL1,CQ4,CAP1,COP2,RE2_CF3_TL1_CQ4_CAP1_COP2,H,REPO_plus,PD,0.0
263,,RE2,CF3,TL1,CQ4,CAP2,COP2,RE2_CF3_TL1_CQ4_CAP2_COP2,H,REPO_plus,PD,0.0
264,,RE2,CF3,TL1,CQ5,CAP1,COP1,RE2_CF3_TL1_CQ5_CAP1_COP1,H,全行业配额,BAU,0.0
265,,RE2,CF3,TL1,CQ5,CAP1,COP2,RE2_CF3_TL1_CQ5_CAP1_COP2,H,全行业配额,PD,0.0
266,,RE2,CF3,TL1,CQ5,CAP2,COP2,RE2_CF3_TL1_CQ5_CAP2_COP2,H,全行业配额,PD,0.0
267,,RE2,CF3,TL1,CQ6,CAP1,COP2,RE2_CF3_TL1_CQ6_CAP1_COP2,H,电力配额,PD,0.0
268,,RE2,CF3,TL1,CQ6,CAP2,COP1,RE2_CF3_TL1_CQ6_CAP2_COP1,H,电力配额,BAU,0.0
269,,RE2,CF3,TL1,CQ6,CAP2,COP2,RE2_CF3_TL1_CQ6_CAP2_COP2,H,电力配额,PD,0.0
270,,RE2,CF3,TL2,CQ1,CAP1,COP1,RE2_CF3_TL2_CQ1_CAP1_COP1,H,无配额,BAU,0.0
271,,RE2,CF3,TL2,CQ1,CAP1,COP2,RE2_CF3_TL2_CQ1_CAP1_COP2,H,无配额,PD,0.0
272,,RE2,CF3,TL2,CQ1,CAP2,COP1,RE2_CF3_TL2_CQ1_CAP2_COP1,H,无配额,BAU,0.0
273,,RE2,CF3,TL2,CQ1,CAP2,COP2,RE2_CF3_TL2_CQ1_CAP2_COP2,H,无配额,PD,0.0
274,,RE2,CF3,TL2,CQ2,CAP1,COP1,RE2_CF3_TL2_CQ2_CAP1_COP1,H,基准不变,BAU,0.0
275,,RE2,CF3,TL2,CQ2,CAP1,COP2,RE2_CF3_TL2_CQ2_CAP1_COP2,H,基准不变,PD,0.0
276,,RE2,CF3,TL2,CQ2,CAP2,COP2,RE2_CF3_TL2_CQ2_CAP2_COP2,H,基准不变,PD,0.0
277,,RE2,CF3,TL2,CQ3,CAP1,COP1,RE2_CF3_TL2_CQ3_CAP1_COP1,H,REPO,BAU,0.0
278,,RE2,CF3,TL2,CQ3,CAP2,COP1,RE2_CF3_TL2_CQ3_CAP2_COP1,H,REPO,BAU,0.0
279,,RE2,CF3,TL2,CQ3,CAP2,COP2,RE2_CF3_TL2_CQ3_CAP2_COP2,H,REPO,PD,0.0
280,,RE2,CF3,TL2,CQ4,CAP1,COP2,RE2_CF3_TL2_CQ4_CAP1_COP2,H,REPO_plus,PD,0.0
281,,RE2,CF3,TL2,CQ4,CAP2,COP1,RE2_CF3_TL2_CQ4_CAP2_COP1,H,REPO_plus,BAU,0.0
282,,RE2,CF3,TL2,CQ4,CAP2,COP2,RE2_CF3_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.0
283,,RE2,CF3,TL2,CQ5,CAP1,COP1,RE2_CF3_TL2_CQ5_CAP1_COP1,H,全行业配额,BAU,0.0
284,,RE2,CF3,TL2,CQ5,CAP1,COP2,RE2_CF3_TL2_CQ5_CAP1_COP2,H,全行业配额,PD,0.0
285,,RE2,CF3,TL2,CQ5,CAP2,COP1,RE2_CF3_TL2_CQ5_CAP2_COP1,H,全行业配额,BAU,0.0
286,,RE2,CF3,TL2,CQ6,CAP1,COP1,RE2_CF3_TL2_CQ6_CAP1_COP1,H,电力配额,BAU,0.0
287,,RE2,CF3,TL2,CQ6,CAP1,COP2,RE2_CF3_TL2_CQ6_CAP1_COP2,H,电力配额,PD,0.0
288,,RE2,CF3,TL2,CQ6,CAP2,COP1,RE2_CF3_TL2_CQ6_CAP2_COP1,H,电力配额,BAU,0.0
